package,published,title,depends_count,suggests_count,tidyverse_happy,has_vignette_build,has_tests,reverse_count,dl_last_month,ci,test_coverage,forks,stars,watchers,last_commit,last_issue_closed,contributors
esquisse,2020-09-27,Explore and Visualize Your Data Interactively,,7,TRUE,TRUE,TRUE,2,6094,Travis,NONE,137,1039,52,0.633333333333333,,
extrafont,2014-12-08,Tools for using fonts,1,1,FALSE,FALSE,FALSE,16,39345,NONE,,41,241,12,2.76666666666667,,
factoextra,2020-04-01,Extract and Visualize the Results of Multivariate Data Analyses,2,6,TRUE,FALSE,FALSE,17,85128,Travis,NONE,70,225,22,8.86666666666667,,
FFTrees,,,,,,,,,,,,,,,,,
filesstrings,2020-10-18,Handy File and String Manipulation,2,6,TRUE,TRUE,TRUE,3,6046,"Travis, Appveyor",CodeCov,7,19,2,1.96666666666667,,
fitdistrplus,2020-12-05,"Help to Fit of a Parametric Distribution to Non-Censored or
Censored Data",5,8,FALSE,TRUE,FALSE,44,37272,NONE,NONE,3,11,3,0.533333333333333,,
flatxml,2020-12-01,Tools for Working with XML Files as R Dataframes,,,TRUE,FALSE,FALSE,0,980,NONE,,3,20,2,,,
forecTheta,2016-05-26,Forecasting Time Series by Theta Models,4,,,FALSE,FALSE,1,10745,,,,,,,,
formattable,2016-08-05,Create 'Formattable' Data Structures,1,4,FALSE,TRUE,TRUE,11,24399,NONE,CodeCov,73,583,43,,,
fs,2020-07-31,Cross-Platform File System Operations Based on 'libuv',1,9,FALSE,TRUE,TRUE,79,728958,NONE,CodeCov,48,267,10,1,,
funModeling,2020-06-15,Exploratory Data Analysis and Data Preparation Tool-Box,2,2,TRUE,TRUE,FALSE,0,4421,NONE,NONE,23,77,9,,,
futile.logger,2016-07-10,A Logging Utility for R,1,2,FALSE,FALSE,TRUE,43,142590,,,,,,,,
gbm,2020-07-15,Generalized Boosted Regression Models,1,8,FALSE,TRUE,TRUE,37,35969,Travis,CodeCov,22,34,12,,,
gdalUtils,2020-02-13,"Wrappers for the Geospatial Data Abstraction Library (GDAL)
Utilities",1,,FALSE,FALSE,FALSE,6,5942,NONE,,10,10,4,,,
gdaUtils,,,,,,,,,,,,,,,,,
geofacet,2020-05-26,'ggplot2' Faceting Utilities for Geographical Data,1,5,TRUE,TRUE,TRUE,2,1427,Travis,CodeCov,30,269,14,7.03333333333333,,
geonames,2019-02-19,"Interface to the ""Geonames"" Spatial Query Web Service",1,,FALSE,FALSE,FALSE,1,1826,Travis,NONE,7,31,9,,,
geoR,2020-02-10,Analysis of Geostatistical Data,3,3,FALSE,FALSE,FALSE,7,6257,,,,,,,,
geosphere,2019-05-26,Spherical Trigonometry,1,2,FALSE,FALSE,FALSE,61,32194,,,,,,,,
GeoXp,,,,,,,,,,,,,,,,,
GGally,2020-06-06,Extension to 'ggplot2',2,17,TRUE,FALSE,TRUE,72,66358,NONE,CodeCov,106,396,24,9.1,,
ggalt,2017-02-15,"Extra Coordinate Systems, 'Geoms', Statistical Transformations,
Scales and Fonts for 'ggplot2'",2,6,TRUE,TRUE,TRUE,3,6052,"Travis, Appveyor",NONE,86,548,31,17.0666666666667,,
ggbeeswarm,2017-08-07,Categorical Scatter (Violin Point) Plots,2,1,FALSE,FALSE,FALSE,9,13716,Travis,NONE,21,344,10,30.7666666666667,,
